A16_LM.UTCModJulian,A16_LM.UTCGregorian,A16_LM.Luna.Longitude,A16_LM.Luna.Latitude,A16_LM.Luna.Altitude,A16_LM.LunaFixed.PlanetodeticAZI,A16_LM.LunaFixed.PlanetodeticHFPA
11470.58309436614,02 Jun 1972 01:59:39.353,85.71339445843675,8.176254880827798,-2.344683915190444,-85.27058923041778,-0.6328427428727963
11470.58322382685,02 Jun 1972 01:59:50.539,85.06752464676478,8.228626679520698,-2.55273962100182,-85.362426232828,-0.594083462406914
11470.58335342131,02 Jun 1972 02:00:01.736,84.420669252271,8.280036296535146,-2.747877966593251,-85.45471778689,-0.5553616877690075
11470.5834846177,02 Jun 1972 02:00:13.071,83.76550485515855,8.331038547785655,-2.932032699586443,-85.54885341018458,-0.5159581009176151
11470.58361446458,02 Jun 1972 02:00:24.290,83.11677856942173,8.380472578972974,-3.10092753996878,-85.64290973544736,-0.4767949801911016
11470.58374404604,02 Jun 1972 02:00:35.486,82.46908499568603,8.428760971553418,-3.256307853208909,-85.73741227584486,-0.4384506148317939
11470.58386846334,02 Jun 1972 02:00:46.235,81.84693939687384,8.474136279385727,-3.393415672466972,-85.82859786496799,-0.4025011651258978
11470.58399095403,02 Jun 1972 02:00:56.818,81.23419358324968,8.517856093356318,-3.516955975032488,-85.91888243084567,-0.3669132616757054
11470.58411002848,02 Jun 1972 02:01:07.106,80.63832886873401,8.559443916038228,-3.62599478725474,-86.00711531210352,-0.3316653777055336
11470.58422822906,02 Jun 1972 02:01:17.319,80.04664047250233,8.599831913072585,-3.723335750690694,-86.09504907470669,-0.296657714073163
11470.584344838,02 Jun 1972 02:01:27.394,79.46273532247494,8.638798654603749,-3.808779923667998,-86.18213083925858,-0.2623230834610695
11470.58446166893,02 Jun 1972 02:01:37.488,78.87754675535547,8.676961174447936,-3.883828529955963,-86.26974753751182,-0.2276226216275603
11470.58457791598,02 Jun 1972 02:01:47.532,78.29512048500597,8.714055888309915,-3.947904959633888,-86.35730800955695,-0.1928593552342193
11470.58469533786,02 Jun 1972 02:01:57.677,77.70664948228983,8.750632874116285,-4.001918985242583,-86.4461518190366,-0.1581007373147116
11470.58481306792,02 Jun 1972 02:02:07.849,77.11648427466589,8.786400589264217,-4.045382870041522,-86.53558907718254,-0.1234749912246826
11470.58493316534,02 Jun 1972 02:02:18.225,76.51431115977056,8.821949272687785,-4.07865615829337,-86.62713146564435,-0.08775414457130637
11470.5850550055,02 Jun 1972 02:02:28.752,75.90326519824851,8.857041253091845,-4.1008497333371,-86.72041307699993,-0.05116790315452136
11470.58518064281,02 Jun 1972 02:02:39.608,75.27304185500246,8.892194951590238,-4.111511255440291,-86.81721791369589,-0.01361471776434087
11470.58522649316,02 Jun 1972 02:02:43.569,75.04301485249317,8.904761599620551,-4.112329227522423,-86.85270109541587,-1.710586161607353e-08
11470.58535023509,02 Jun 1972 02:02:54.260,74.42213425212141,8.937972979335935,-4.106394152162011,-86.94875400365291,0.03653755303089667
11470.58548522643,02 Jun 1972 02:03:05.924,73.74469124043239,8.973028613586273,-4.086440399733874,-87.05381378698482,0.07618938708291978
11470.58562276592,02 Jun 1972 02:03:17.807,73.05435263065354,9.007481458659774,-4.051668196194669,-87.16107977013051,0.1166859569266734
11470.58576110402,02 Jun 1972 02:03:29.759,72.35991376084597,9.040842685943483,-4.001913519027994,-87.26935662018529,0.1576800988002702
11470.58590030062,02 Jun 1972 02:03:41.786,71.66108821712075,9.073097183951616,-3.936819344384958,-87.37884767376013,0.1990462935687702
11470.58603934868,02 Jun 1972 02:03:53.800,70.96294840537416,9.103994765441934,-3.856693206575983,-87.4886919702426,0.2405828972986654
11470.58617775523,02 Jun 1972 02:04:05.758,70.26798648990274,9.13343204850114,-3.761849732017936,-87.5983578832538,0.2821842728380091
11470.58631661716,02 Jun 1972 02:04:17.756,69.57070824890454,9.161641197419421,-3.65154938149135,-87.70867341105587,0.3237374282256127
11470.58645325063,02 Jun 1972 02:04:29.561,68.88460524196793,9.188098605711311,-3.528329842413996,-87.81752753294617,0.3642742957615326
11470.58658863379,02 Jun 1972 02:04:41.258,68.20478339117666,9.21303896564069,-3.391952931663354,-87.92572156072508,0.4043220470434221
11470.58672284661,02 Jun 1972 02:04:52.854,67.53085700761146,9.236507231888213,-3.242756474660382,-88.033271177448,0.4439117111087825
11470.5868548681,02 Jun 1972 02:05:04.261,66.86796754201897,9.258368705805294,-3.082433310788929,-88.13931258312134,0.482836802244293
11470.58698661248,02 Jun 1972 02:05:15.643,66.20651814422666,9.278971758912428,-2.909005947813284,-88.24536924499026,0.5218667181379431
11470.58711694252,02 Jun 1972 02:05:26.904,65.55223040912944,9.298159698676523,-2.724192787153925,-88.35044120545241,0.5604676438643281
11470.58724613473,02 Jun 1972 02:05:38.066,64.90372714363048,9.316006776089614,-2.528027889674831,-88.45475035314389,0.5986088988497897
11470.58737667664,02 Jun 1972 02:05:49.345,64.24853660380045,9.332851474731912,-2.3167133138802,-88.56042321416642,0.6372350799192219
11470.58750661337,02 Jun 1972 02:06:00.571,63.59648385390611,9.348428710820171,-2.093279536794398,-88.66581575879714,0.6756754654252859
11470.58763788187,02 Jun 1972 02:06:11.913,62.93786176415734,9.362959765109567,-1.854338016012207,-88.77231696520096,0.7142652187096275
11470.58777079827,02 Jun 1972 02:06:23.397,62.27110192348916,9.376438718450819,-1.598959224558939,-88.88016093320756,0.7530613500391326
11470.58790363045,02 Jun 1972 02:06:34.874,61.6049101176033,9.388668088887689,-1.330343957821697,-88.98801128764144,0.7915033780333545
11470.58803618017,02 Jun 1972 02:06:46.326,60.94029622195765,9.399634087278596,-1.049052987298865,-89.09575486212893,0.8296871295346904
11470.58816994009,02 Jun 1972 02:06:57.883,60.2697946990409,9.409446365227263,-0.7517954510810796,-89.20457153868709,0.8683008988255665
11470.58830395663,02 Jun 1972 02:07:09.462,59.59820330314351,9.418014861398003,-0.4404674820871151,-89.31351736397448,0.9068872916811301
11470.58843904804,02 Jun 1972 02:07:21.134,58.92143940350466,9.42537522400468,-0.1130527690647796,-89.42321207975473,0.9455003683765426
11470.58858032485,02 Jun 1972 02:07:33.340,58.2139377178048,9.431702722553608,0.2438648463651134,-89.53796144489709,0.9858030244033245
11470.58872318086,02 Jun 1972 02:07:45.683,57.49880674475762,9.436677157974224,0.6198596453191385,-89.65402816170382,1.026658620138946
11470.58887092812,02 Jun 1972 02:07:58.448,56.75950602398673,9.440317371682907,1.024719666067995,-89.77400045380841,1.069004259243002
11470.5890277934,02 Jun 1972 02:08:12.001,55.97495234077095,9.442509854804413,1.472351530228252,-89.90139324578546,1.113831202842491
11470.58918560185,02 Jun 1972 02:08:25.636,55.18608889283161,9.442978560802406,1.94101624637824,-90.02959624275013,1.158431614761028
11470.58934374218,02 Jun 1972 02:08:39.299,54.39600008426892,9.441702484272934,2.428868228639431,-90.15802776763378,1.202542827007946
11470.58949430259,02 Jun 1972 02:08:52.308,53.64421015167223,9.438865824433368,2.910097986459277,-90.280300819815,1.244391602652641
11470.5896396243,02 Jun 1972 02:09:04.864,52.91899708448242,9.434629048333907,3.390100126662219,-90.39834280938679,1.284964108528641
11470.58978267637,02 Jun 1972 02:09:17.223,52.20552832198062,9.429022251978966,3.877507580143856,-90.51449174807134,1.324793038966973
11470.589925234,02 Jun 1972 02:09:29.540,51.49495385581926,9.422020128626961,4.377832918707327,-90.63011731950815,1.36416209495431
11470.59007008061,02 Jun 1972 02:09:42.055,50.77342622840798,9.413462626482533,4.901008541093916,-90.74745922225843,1.403969439948867
11470.59021799595,02 Jun 1972 02:09:54.835,50.03710528561675,9.403226630417439,5.45059870734076,-90.86714161068079,1.444420796721673
